naam,geboortedata,Postcode,gift_given,gedrag
Kathryn Campbell,2004-07-01,08200 71,True,goed
Mathew Stanley,2018-03-04,39683 58,False,slecht
Kenneth Nguyen,2022-03-04,01171 41,False,slecht
Aaron Nguyen,2018-06-01,08429 74,True,goed
Karl Shea,2006-08-09,95176 35,True,goed
Aimee Mason,2013-06-09,97170 58,True,slecht
Gloria Li,2016-12-17,61757 80,True,slecht
Michael Thompson,2006-09-08,11254 73,True,goed
Ryan Cabrera,2006-04-13,33584 23,True,goed
David Bauer,2009-07-08,83318 42,False,slecht
Scott Lopez,2019-12-03,91230 49,True,slecht
Sara Davidson,2018-09-01,63654 56,False,slecht
Scott Ortiz,2005-12-30,42657 92,True,slecht
Jeffrey Guerrero,2013-11-17,65741 70,True,goed
Douglas Young,2010-02-08,36371 30,True,goed
Antonio Jimenez,2008-07-04,48475 13,False,goed
Heather Wagner,2015-03-30,23472 44,True,slecht
Anna Farmer,2009-05-24,28243 54,False,goed
Joan Lyons,2018-07-24,32423 72,False,slecht
Ryan Terry,2022-04-02,13108 63,True,slecht
Justin Lynch,2016-02-12,23627 74,True,slecht
John Estrada,2011-04-27,32752 26,True,goed
Angela Bentley,2007-09-23,99851 16,True,slecht
Alexander Woodard,2017-02-13,84115 56,False,goed
Jason Jensen,2007-09-27,57460 25,True,slecht
Charles Scott,2014-08-26,70053 1,True,slecht
Molly Morgan,2011-01-22,36973 22,True,slecht
William Allen MD,2005-01-12,52259 57,True,slecht
Terry Miranda,2022-03-21,63996 98,False,slecht
Lisa Gray,2022-02-02,50301 96,False,goed
Devon Chase,2005-08-29,05112 14,False,goed
Dana Ferguson,2013-07-06,69164 65,False,slecht
Jesse Bailey,2019-11-07,83790 24,True,goed
Mikayla Yang,2016-10-26,12321 21,True,goed
Larry Barajas,2008-08-16,06168 93,True,slecht
Daniel Webb,2011-05-04,02105 79,True,slecht
David Sanders MD,2018-01-09,67304 51,True,goed
Brenda Johnson,2019-09-03,62293 21,False,slecht
Crystal Sloan,2015-10-29,39495 76,False,goed
Kurt Barr,2021-01-14,10947 84,True,goed
Joseph Graham,2008-10-11,38913 21,True,slecht
Lance Gibson,2011-08-24,83973 30,True,slecht
Kimberly Andersen,2008-12-31,10142 17,False,slecht
Mark Carrillo,2009-08-18,96817 92,False,slecht
Rebecca Maddox,2020-11-28,62152 4,True,slecht
Leonard Herring,2004-12-26,24901 23,True,slecht
Tony Thompson,2019-08-05,42085 56,True,goed
Andrew Kelley,2020-03-18,73803 61,True,slecht
Julia Matthews,2005-08-19,67179 68,True,goed
Annette Nguyen,2011-11-30,56299 98,True,goed
Brian Thomas MD,2005-12-15,07435 12,False,slecht
Lucas Gibson,2014-07-02,77070 17,True,goed
Mary Ross,2006-08-04,30485 86,False,goed
Anna Crosby,2008-02-26,45524 37,True,slecht
Dustin Roberts,2020-11-05,02978 89,False,goed
Jennifer Bailey,2014-10-20,07467 48,False,slecht
Morgan Davis,2005-11-03,41653 96,True,slecht
Sharon Key,2014-07-29,86451 24,True,slecht
David Nichols,2021-09-22,74225 84,False,slecht
Jose Rush,2012-03-15,55736 57,True,goed
Mr. Austin Taylor,2008-10-15,44038 82,True,slecht
Victor Buchanan,2008-01-07,82624 5,False,slecht
Dakota Hopkins,2020-10-10,85826 37,True,goed
Susan Garcia,2012-04-27,37038 43,False,goed
Ronald Taylor,2015-06-30,97803 8,True,goed
Michael Raymond,2004-07-15,38861 92,False,slecht
Brent Delgado,2007-03-23,73873 56,False,slecht
Julie Wallace,2014-10-26,34762 45,False,slecht
James Casey,2005-11-18,01919 88,True,goed
Todd Davis,2004-09-05,55042 88,True,goed
Laura Hernandez,2007-02-11,71075 44,False,goed
Adam Deleon,2004-09-18,16191 43,True,slecht
Nicole Hicks,2020-02-28,60040 12,False,slecht
Christian Dominguez,2010-06-29,92270 12,False,slecht
Tonya Martin,2006-07-28,15608 64,False,goed
Paula Martinez,2018-02-24,59563 17,False,goed
Michael Greene,2005-06-01,86637 66,True,slecht
Jeffrey Pratt,2015-04-13,31267 39,True,slecht
Erin Hart,2009-09-18,08762 94,True,slecht
Wesley Martinez,2019-04-09,67863 88,False,goed
Darius Garcia,2007-03-11,12106 43,True,goed
Richard Carter,2012-04-28,74633 88,False,slecht
Stephen Diaz,2019-02-14,31327 47,True,goed
Richard Bell,2015-09-10,77988 2,True,goed
Christopher Hall,2006-10-24,51037 93,True,goed
Elizabeth Young,2006-09-18,23657 23,True,slecht
Kenneth Nguyen,2006-03-25,25339 99,True,slecht
Miguel Burns,2010-06-05,30460 20,False,goed
Martha Hill,2005-07-22,70188 70,True,slecht
Zachary Grimes,2021-01-01,65178 96,False,goed
Christopher Gordon,2016-08-28,24153 41,False,slecht
Kathy Watkins,2007-06-01,26268 6,True,goed
Gregory Mosley,2009-03-17,17446 17,False,slecht
Omar Carlson,2014-02-23,54855 2,False,slecht
Russell Morgan,2012-11-18,52144 16,False,goed
Jay Hardy,2004-08-26,93809 62,False,slecht
Christopher Romero,2005-11-27,07146 16,True,goed
Wesley Hayden,2011-09-05,24866 23,False,slecht
Taylor Smith,2009-05-19,54100 57,False,slecht
Kimberly Sandoval PhD,2013-07-21,27810 69,True,slecht
Edward Chavez,2005-09-01,63442 41,False,goed
Luke Roberts,2008-10-12,14727 50,True,goed
Matthew Gonzalez,2006-12-08,49322 78,False,slecht
Sandra Parker,2021-11-15,18570 64,False,slecht
Richard Sims,2009-02-18,43049 27,False,goed
Jaime King,2020-04-10,96855 82,False,goed
Julie Rodriguez,2007-09-27,30526 100,False,goed
Thomas Sharp,2006-03-31,57801 57,True,goed
Derrick Jones,2012-10-10,86534 90,False,slecht
Carlos Lucas,2018-08-30,01187 21,True,goed
Christopher Brooks,2006-10-09,88451 42,True,goed
Sharon Hartman,2015-07-14,30130 69,True,goed
Kenneth Lewis,2018-03-22,01094 61,False,slecht
Michael Rogers,2012-06-24,52804 17,False,slecht
Christian Walsh,2012-05-19,90967 56,False,goed
Mark Phillips,2012-06-19,17536 29,False,goed
Sarah Garrett,2017-06-03,94155 18,False,goed
Allen Macdonald,2022-02-14,26859 75,False,slecht
Lisa Green,2014-11-28,78068 10,False,slecht
Dorothy Hoffman,2018-10-30,16460 11,True,slecht
Michael Daniel,2010-06-05,29087 38,False,slecht
Anthony Taylor DVM,2009-03-26,97004 87,False,slecht
Samuel Casey,2015-02-03,08386 75,True,goed
Melissa Ryan,2007-02-18,99108 81,True,slecht
Michael Harris,2016-08-08,69018 86,True,goed
Patrick Davidson,2016-01-08,96018 42,True,goed
Julie Smith,2008-01-19,18005 72,True,slecht
Amanda Terry,2009-06-10,44877 52,False,slecht
Mrs. Courtney Burke,2014-08-13,85710 18,True,slecht
Jennifer Jones,2022-02-09,76548 5,False,slecht
Sandra Alexander,2016-03-07,20383 33,True,slecht
Nichole Ramos,2006-05-06,67785 24,False,goed
Nicholas Mathis,2010-02-02,56799 85,True,slecht
Nicole Chandler,2022-05-02,90539 45,True,goed
Randy Aguirre,2020-07-10,81374 20,False,goed
Becky Rodriguez,2020-05-16,01557 55,True,goed
Craig Hall,2015-07-26,17627 85,True,goed
Courtney Holmes,2017-09-11,31497 50,True,goed
Eddie Morris,2021-02-12,48694 4,True,slecht
Chelsea Maldonado,2007-12-18,33086 11,False,goed
Robert Jackson,2015-09-18,61326 99,False,slecht
Kathy Perry,2011-03-05,43913 53,False,goed
Heather Jones,2017-02-17,65867 43,False,slecht
Rodney Romero,2015-07-06,63900 73,False,slecht
Ricky Hensley,2012-01-09,52149 27,False,goed
Angela Hansen,2005-06-27,87830 73,False,goed
Brenda Simmons,2020-11-30,26152 89,True,slecht
Karl Thornton,2012-02-06,32124 29,True,goed
Christy Solomon,2022-01-01,71828 2,True,slecht
Meghan Cook,2011-07-09,12059 48,False,slecht
James Sharp,2005-11-23,42790 36,True,slecht
William Hudson,2005-10-15,18432 3,False,slecht
Christina Greene,2013-12-20,50237 67,False,slecht
Christina Cox,2022-04-14,58631 36,True,goed
Kevin Lopez,2012-03-17,03416 56,True,goed
James Le,2006-01-10,60171 23,False,slecht
Jonathan Jones,2005-02-21,83756 6,False,slecht
Holly King,2009-11-10,04418 63,True,slecht
Joshua Scott,2006-11-16,74582 67,True,slecht
Donald Johnson,2021-11-17,34866 94,False,goed
David Perry,2010-08-02,06095 61,True,goed
Joshua Olsen,2020-05-18,79659 14,True,slecht
Steven Brown,2015-10-02,11395 53,False,goed
Ashley Watts,2009-10-13,71838 51,False,goed
Emma Mooney,2009-02-18,83417 13,True,slecht
Brian Vasquez,2011-07-10,89252 12,False,goed
Kaitlyn Anderson,2015-06-16,40564 68,True,slecht
Helen Ryan,2016-02-25,88766 45,False,goed
Melissa Mathis,2011-08-18,93482 97,False,slecht
Kelly Wells,2005-03-22,09119 28,False,slecht
Tiffany Sanchez,2005-04-04,91140 11,True,goed
Amanda Cardenas,2015-10-03,18866 85,True,goed
Joseph Ray,2008-12-14,19605 9,False,goed
Cynthia Nguyen,2013-01-16,11288 39,False,goed
Justin Peters,2015-10-14,49041 6,False,goed
Richard Thomas,2011-09-16,69472 30,False,slecht
Kristina Howe,2005-03-09,55798 65,True,goed
Jennifer Johnson,2011-11-05,97676 89,True,goed
Stephen Andrews,2012-06-17,28150 83,False,goed
Sarah Smith,2017-11-25,81300 3,False,goed
Danielle White,2013-03-25,15950 55,True,slecht
Allen Johnson,2009-08-28,87878 32,True,goed
Gregory Davis,2007-07-13,32124 91,True,goed
Jacqueline Mendoza,2020-02-26,87790 23,False,goed
Mark Duffy,2017-07-29,55431 59,True,goed
Rachel Harrington,2021-07-12,32287 86,True,goed
John Gray,2016-09-26,84402 95,True,slecht
Sara Lee,2013-03-25,53837 26,True,slecht
Diana Stewart,2009-08-03,67873 35,False,slecht
William Andrews,2006-02-25,94776 55,False,goed
Preston Sanford,2009-04-27,45279 15,True,goed
Austin Hammond,2015-04-14,73671 32,True,slecht
David Horne,2007-10-26,35255 27,False,slecht
Shane Smith,2016-07-31,96711 40,True,slecht
Tyler Hernandez,2017-06-16,86444 79,False,slecht
Jennifer Brown DVM,2013-09-03,10966 32,False,goed
Brandy Morgan,2010-04-02,96894 30,False,goed
Julie Frye,2010-01-01,14951 84,False,slecht
Karen Smith,2021-09-23,20568 39,False,slecht
William Warren,2011-05-04,56037 13,True,slecht
Amanda Palmer,2022-01-17,04070 27,True,goed
Trevor Swanson,2013-03-14,17684 53,False,slecht
Rebecca Kennedy,2009-12-21,30634 77,True,goed
Laura Coleman,2015-12-25,90091 16,True,goed
Michael Lewis,2012-06-21,50869 29,False,goed
Jason Odom,2006-08-17,63996 71,True,goed
Marcus Sanchez,2011-03-11,09122 31,False,slecht
Melvin Patterson,2016-04-27,07512 90,True,slecht
Nancy Dickerson,2009-04-17,34220 70,True,slecht
Brittany Cain,2004-07-19,14265 77,False,goed
Nathan Carlson,2010-09-01,07138 69,True,goed
Ann Byrd,2018-05-28,53295 94,False,goed
Alexis Owens,2009-08-11,70622 66,True,goed
Stephanie Smith,2015-03-23,03083 63,True,slecht
Jacqueline Jackson,2015-10-16,94034 15,True,slecht
Steven Patel,2010-08-01,22882 43,True,goed
Thomas Richard,2009-03-06,72972 33,True,goed
Eric Patel,2018-12-23,54856 20,True,goed
Jennifer Bentley,2019-01-11,18160 11,True,slecht
Christopher Page,2010-06-14,65701 2,False,slecht
Katie Obrien,2010-04-11,80523 67,False,slecht
Alexis Brown,2013-10-29,70243 14,True,slecht
Tina Owen,2012-09-09,68461 9,True,slecht
Katherine Adams,2013-05-31,56775 11,False,slecht
Ashley Howell,2004-12-21,87684 33,False,goed
Russell Smith,2005-11-03,82750 56,True,goed
Joel Ray,2006-12-08,00512 54,False,goed
Paul Jackson,2019-07-19,37747 49,False,slecht
Jessica Smith,2010-08-16,64782 33,False,slecht
Angel Mcgrath,2015-11-26,26364 95,True,slecht
Daniel Gordon,2008-03-20,06678 85,False,goed
Gloria Liu,2011-06-03,23180 73,False,slecht
Michele Morgan,2018-03-17,46984 49,True,slecht
Jason Cohen,2005-11-29,55659 17,True,slecht
Laura Roy,2007-01-30,89161 19,False,slecht
Lisa Brown,2008-07-14,20080 75,False,goed
Kenneth Nelson,2018-10-10,20160 1,False,goed
Melody Joseph,2019-03-04,46285 39,False,slecht
Christine Keller,2010-03-03,95964 96,True,goed
Pamela Davis,2017-08-18,98900 15,True,goed
Kimberly Peterson,2014-09-25,76353 44,True,slecht
Misty Burgess DDS,2021-12-11,76717 64,False,slecht
Luis Williams,2017-03-01,61571 75,True,goed
Rhonda Gomez,2022-04-03,31616 90,True,goed
Kelsey Evans,2016-03-24,66531 46,True,goed
Barbara White,2004-10-25,92338 97,True,slecht
Kenneth Taylor,2013-01-27,30087 83,False,slecht
Stacey Jackson,2009-02-03,86377 74,False,goed
Calvin Neal,2007-03-21,87108 34,True,slecht
Tamara Edwards,2005-05-05,52563 74,False,goed
Michele Chapman,2021-05-18,42239 91,False,slecht
Ms. Lacey Thomas,2018-09-24,13789 93,False,goed
Catherine George,2009-10-28,91732 98,True,slecht
John Padilla,2022-02-21,96876 10,False,goed
John Martin,2019-10-03,98198 80,True,slecht
Corey Cooper,2017-06-13,56800 15,False,slecht
Paul Townsend,2016-11-06,90952 73,False,slecht
Gregory Jordan,2017-03-28,25890 77,True,slecht
Deborah Beck,2021-06-18,55112 82,True,goed
Wendy Rodriguez,2013-08-23,15330 13,False,goed
Sarah Farrell,2005-04-29,27809 48,True,slecht
Sophia Gordon DVM,2011-09-23,82759 44,True,slecht
Kevin Gonzalez,2006-12-26,22414 20,True,slecht
Erin Thomas,2017-07-31,57403 78,False,goed
Wanda Jones,2006-07-18,31753 95,False,slecht
Kimberly Munoz,2008-07-20,69132 8,False,slecht
Robert Park,2009-06-15,62949 24,False,goed
Joanne Reynolds,2005-09-18,42806 80,False,goed
Javier Stone,2007-01-30,50595 84,False,goed
Catherine Woods,2015-02-20,11006 38,True,goed
Mary Sanchez,2004-05-19,83522 11,False,slecht
Andrew Turner,2006-04-29,86155 52,False,goed
Bonnie Reeves,2006-11-10,48391 30,False,slecht
Lisa Waters,2010-12-16,11553 90,False,slecht
Andrew Murphy,2015-01-03,70761 1,False,goed
Terry Skinner,2021-07-06,80167 78,False,slecht
Sonia Warren,2009-02-23,73673 68,False,goed
Andrea Tanner,2009-01-10,15112 97,False,slecht
Thomas Cook,2019-11-29,93108 21,False,slecht
Daniel Curry,2013-05-24,89902 55,False,goed
Ronald Adams,2009-07-28,37948 20,True,slecht
Timothy Hall,2012-02-05,13818 35,True,goed
Tanya Beltran,2005-04-03,39169 48,True,goed
Monica Lambert,2021-05-09,10430 78,False,goed
Nicholas Davis,2009-06-03,26390 23,True,slecht
James Harris,2005-07-21,85792 72,True,slecht
Brandy Torres,2007-10-07,44127 59,True,goed
David Weber,2006-04-27,75459 98,False,slecht
Harry Clark,2009-06-15,46640 87,False,slecht
Patricia Brown PhD,2008-03-11,31748 22,True,goed
Mark Smith,2018-02-24,35198 66,True,slecht
Anne Garcia,2012-04-24,63316 78,True,goed
Jennifer Figueroa,2007-08-19,78543 91,True,slecht
James Dawson,2008-01-30,53077 28,False,slecht
Joshua Johnson,2021-07-18,68835 24,False,slecht
Maria Butler,2005-06-19,71527 72,False,goed
Joe Clark,2010-01-14,77211 53,False,goed
Michael Hale,2018-03-26,72671 58,False,goed
Kelsey Cunningham,2015-09-17,26357 89,True,slecht
Paul Nelson,2012-01-15,85384 77,True,slecht
Jason Cunningham,2012-06-16,47367 17,False,goed
Anna Peterson,2018-02-18,93122 27,False,slecht
Michael Lane,2007-06-30,52584 41,False,goed
Benjamin Obrien,2004-09-27,10784 16,True,goed
Keith Garza,2010-12-29,69848 21,True,goed
Amber Mendez,2015-06-14,65916 17,False,slecht
Terry Brown,2021-03-18,08030 86,True,slecht
Sergio Erickson,2018-08-08,78729 18,True,goed
Lindsey Rodriguez,2010-05-30,36690 31,True,slecht
Mr. Marcus Adams,2017-12-22,72602 80,False,slecht
Natalie Black,2016-12-21,78815 1,False,slecht
Haley Black,2015-08-20,69329 82,True,slecht
Lauren Fuentes,2008-11-15,64370 56,False,goed
Donna Fitzgerald,2005-07-19,87410 24,False,slecht
Mrs. Jessica Kelley,2011-08-18,93832 2,False,goed
Tara Moore,2008-02-25,95734 11,True,goed
Danielle Richardson,2011-08-25,44876 50,False,slecht
Frances Perry,2009-03-24,56988 92,False,slecht
Marcia Perez,2004-07-24,19508 70,False,goed
Ryan Burton,2009-07-06,66049 32,True,goed
Samantha Martin,2020-10-20,49925 55,False,slecht
Robert Perkins,2010-10-01,15983 18,False,goed
Ms. Megan Moore,2007-12-10,33822 37,True,slecht
Russell Reeves,2004-06-15,60789 3,True,slecht
David Jones,2016-10-17,20623 41,False,slecht
Christopher Allen,2017-12-25,30516 81,False,slecht
Mark Dean,2018-05-11,91086 52,True,goed
Nathan Jones,2017-09-17,87323 75,False,slecht
Linda Davis,2014-03-19,06702 12,True,goed
Robin Rodgers,2016-01-26,71725 40,False,goed
Christopher Black,2017-06-29,87507 90,False,slecht
Abigail Miller,2019-08-17,03918 33,False,slecht
Kyle Davis,2021-03-03,34090 58,True,slecht
Judy Murphy,2009-08-09,31358 94,True,goed
Terry Peters,2014-09-11,13350 70,False,goed
Tracey Rivera,2018-01-18,49643 93,False,goed
Christopher Miller,2016-07-19,44318 18,True,goed
Angela Contreras,2009-06-20,63407 48,True,slecht
Tonya Harrison,2008-03-25,23819 65,False,goed
Taylor Glenn,2019-01-05,36701 94,True,goed
Jeffery Mills,2019-09-23,76060 65,True,slecht
Gary Smith,2014-08-01,59485 26,True,slecht
Marco Whitaker,2008-01-04,22069 53,True,slecht
Mrs. Miranda Franklin,2021-05-25,31468 1,False,goed
Amanda Harris,2020-01-06,46435 95,True,slecht
Karen Stewart,2013-07-24,54128 29,True,slecht
Ryan Campbell,2007-10-05,53727 18,False,goed
Amy Castillo,2006-04-26,12440 21,False,goed
Taylor Grant,2010-03-24,55796 81,True,goed
Robert Silva,2010-10-18,63400 12,True,slecht
Charles Gardner,2019-07-05,24788 72,True,goed
Crystal Peters,2021-04-23,94434 41,False,goed
Vincent Bailey,2008-06-29,44671 10,True,slecht
Mary Le,2018-05-19,12494 96,False,goed
Timothy Costa,2015-12-27,14241 49,True,slecht
Arthur Murphy,2005-07-13,74766 71,True,goed
Joseph Hebert,2021-07-01,20647 83,True,slecht
Travis Gonzalez,2005-03-06,37738 51,True,goed
Timothy Allison,2004-06-07,97751 88,True,goed
Christine Moore,2022-03-31,10652 49,True,goed
Donna Atkinson,2008-01-23,39055 71,True,goed
Miguel Newman,2018-07-11,89328 20,True,slecht
Taylor Kelly,2005-02-19,23974 87,True,slecht
Victor West,2014-04-12,77000 13,True,slecht
Timothy Phillips,2007-03-20,21733 86,False,goed
Timothy Smith,2007-12-29,35769 83,True,goed
Julia Peterson,2014-01-21,63349 7,True,slecht
Lisa Bennett,2020-02-04,81078 70,False,goed
Julie Riggs,2015-01-18,73042 51,True,goed
Michael Griffin,2007-06-02,75372 57,True,slecht
April Wilkins,2014-01-30,22566 96,True,goed
Vanessa Richards,2006-12-07,47522 80,True,slecht
Grant Donaldson,2007-05-24,34153 58,True,slecht
Jennifer Clark,2016-02-12,72496 87,False,goed
Jordan Nolan,2014-05-26,49140 94,True,slecht
Pamela Zimmerman PhD,2008-08-26,99388 52,False,goed
Rachel Hood,2011-01-18,37937 31,False,goed
Michael Jordan,2015-03-25,66885 12,False,goed
Tracie Thornton,2009-11-01,98000 4,False,slecht
Sean Martin,2015-07-09,39584 88,False,slecht
Dean Maldonado,2014-05-08,41769 4,True,goed
Melvin Tyler,2018-08-03,37099 92,False,slecht
Benjamin Crosby,2020-07-06,55095 64,True,slecht
Brianna Williams,2006-09-04,23675 77,True,slecht
Maureen Hansen,2014-07-29,93554 79,True,slecht
Peter Morgan,2013-01-03,59239 3,False,goed
Zachary Young,2015-04-16,38686 66,True,goed
Michele Moon,2010-03-01,17497 85,True,goed
Daniel Smith,2011-11-09,30400 85,True,goed
Michael Martin,2015-05-07,34979 1,True,goed
Alex Randall,2012-04-02,01850 62,True,goed
Kimberly Webb,2020-12-01,95476 43,True,goed
Joshua Nguyen,2005-12-30,27543 53,True,slecht
Brandon Turner,2014-05-31,48599 57,False,goed
Jeffrey Conway,2009-09-04,14413 14,True,goed
Benjamin Turner,2012-12-10,18442 44,False,goed
Regina Horn,2014-06-23,39667 96,False,goed
Amy Taylor,2012-10-27,18877 23,True,goed
Maria Walters,2022-01-16,21309 22,False,slecht
David Hill,2013-12-04,59963 12,False,slecht
Bryan Brown,2022-01-04,18344 55,False,goed
Kelly Johnson,2019-06-20,54506 47,True,goed
Stephen Chapman,2013-10-30,68227 47,True,slecht
Johnny Shepherd,2010-12-20,63811 66,True,slecht
Richard Moore,2009-03-17,11240 97,True,slecht
Ricky Lopez,2012-02-27,46272 68,True,goed
Michael Weber,2019-08-17,71926 34,True,goed
Martin Davis,2017-09-28,05852 36,True,goed
Carol Vasquez,2016-06-07,16373 77,True,slecht
Joan Young,2021-05-30,27662 88,False,goed
Matthew Morse,2019-01-19,87874 41,False,slecht
Linda Wood,2007-08-23,02548 28,False,slecht
Kristen Davis,2015-03-02,69126 28,True,goed
Joseph Mitchell,2011-08-06,18899 66,True,goed
Jamie King,2021-08-28,30791 86,False,slecht
Larry Rowland,2009-10-24,68830 74,False,goed
Dana Jarvis,2010-05-29,42600 88,False,slecht
Anthony Valdez,2010-08-17,70426 31,False,slecht
Elizabeth Hill,2018-09-17,36008 99,False,slecht
Andrew Johnson,2017-05-02,99857 65,False,slecht
Brian Lewis,2006-07-26,99141 78,True,goed
Dustin Fitzpatrick,2021-10-06,80440 99,False,slecht
Valerie Wright,2009-01-03,63056 80,True,slecht
Michael Guerra,2006-09-16,39021 86,False,goed
Christopher Lee,2017-06-29,12053 65,True,goed
Noah Smith,2012-02-24,25458 8,True,goed
Anna Jones,2018-06-18,22846 93,False,slecht
Christopher Taylor,2007-04-24,33105 84,False,slecht
Randy Pratt,2017-12-14,22403 90,True,goed
Alexander Lindsey,2016-02-04,56461 11,False,goed
Nancy Horn,2005-03-29,68445 93,True,goed
Michael Hunt,2015-06-01,23907 67,True,slecht
Bryan Garcia,2014-06-13,06051 21,True,slecht
Phillip Dominguez,2016-06-23,21093 61,False,goed
Joshua Miller,2009-01-14,03420 84,True,goed
Carrie Powers,2018-02-11,76516 70,True,goed
Sarah Brown,2020-03-07,87419 14,True,slecht
Joshua Clark,2015-11-30,92653 64,True,goed
Thomas Davies,2010-11-17,34590 97,False,goed
Louis Robinson,2021-04-19,26037 80,False,goed
Thomas Ryan,2007-02-05,15213 71,True,slecht
Eric Oneill,2021-04-13,76870 1,True,slecht
Ray Duran,2015-07-09,41988 3,True,goed
Michele Gibson,2008-06-13,69819 71,False,slecht
Laurie Neal,2005-09-15,51814 56,True,goed
Emma Burns,2012-05-23,80726 39,False,goed
Joanne Hill,2015-07-03,20018 1,False,goed
Dr. Laurie James,2014-11-19,92073 63,False,slecht
James Clark PhD,2016-12-24,11826 54,False,slecht
Tina Mccarthy,2019-07-05,13106 74,False,slecht
Mark Dixon,2010-06-20,60021 32,False,slecht
Jennifer Velasquez,2006-03-27,40913 41,True,goed
Alexis Rios,2016-10-22,91333 66,False,slecht
Michael Collins,2019-11-15,55829 16,False,goed
David Patterson,2018-06-10,18056 84,True,slecht
Isaiah Fletcher,2021-10-18,99024 84,False,slecht
Amanda Carter,2007-09-12,22667 75,True,goed
Stacy Rodriguez,2011-10-08,31199 57,False,goed
Emily Diaz,2016-04-28,38390 16,False,slecht
Kathy Garcia,2010-03-18,47548 97,False,slecht
Lisa Ray,2011-08-27,77724 64,False,goed
Marcus Bowers,2022-02-07,83965 88,False,slecht
Marc Lara,2015-08-21,70164 50,True,goed
Nancy Arias,2006-04-25,10156 75,False,goed
Brandon Conley,2015-11-07,28206 26,False,goed
Ryan Smith,2020-09-25,46437 52,False,slecht
Scott Walker,2009-09-18,03518 40,False,slecht
Richard Holloway,2017-02-07,49674 33,False,slecht
Jessica Ellis MD,2007-11-27,78789 1,True,goed
Paula Rodgers,2007-11-14,90360 16,True,slecht
Stephen Schultz,2015-10-14,17869 39,False,goed
Jon Elliott,2009-07-31,91862 58,False,goed
Monique Wallace,2020-04-21,52835 83,True,slecht
Matthew Terry,2017-05-27,19233 55,True,slecht
Ronald Saunders,2014-08-28,37533 56,True,slecht
Jessica Wyatt,2016-05-06,22518 98,True,goed
Lee Johnson,2011-06-29,85456 73,True,slecht
Alyssa Richardson,2006-08-27,64860 47,False,goed
Taylor Dunlap,2004-11-20,46126 24,False,slecht
Ashley Mueller,2012-07-04,56573 26,True,slecht
Spencer Smith,2009-05-13,71418 45,True,goed
Tara Harmon,2017-09-09,05975 7,True,slecht
Carlos Martinez,2013-12-11,03404 3,True,goed
Stephen Mosley,2008-03-01,87784 50,True,slecht
Anita Morrow,2022-01-07,69468 71,True,goed
Joel Bright,2008-11-30,38755 98,True,slecht
Daniel Villa,2007-11-18,61649 57,False,goed
David Phillips,2012-07-24,64986 30,False,slecht
Daniel Butler,2005-12-26,34392 64,False,slecht
Christina Wise,2020-10-28,31796 60,True,goed
Tanya Rosario,2017-03-27,46034 45,False,goed
Shaun Stone,2020-04-05,01240 25,False,slecht
Casey Clark,2016-11-01,07494 23,True,slecht
Terri Murray,2005-04-14,93791 22,False,slecht
Justin Henderson,2017-12-28,74632 63,False,goed
Christine Jarvis,2007-10-24,31036 10,True,slecht
Cynthia Hood,2013-11-03,71492 41,False,slecht
Douglas Simpson,2020-03-25,59116 11,True,goed
George Brooks,2012-07-30,75481 89,False,goed
Lindsey Hall,2008-06-29,42993 96,False,slecht
Victor Webb,2020-02-10,57459 99,False,goed
Kimberly Payne,2010-06-21,44482 100,True,slecht
Carol Zimmerman,2007-12-13,85160 81,False,slecht
Margaret Miller,2010-05-29,40252 81,False,slecht
Michael Harrington,2021-09-15,48881 29,True,slecht
Michael Green,2011-03-21,19772 20,False,slecht
Cory Moody,2011-03-27,82983 83,False,goed
Mallory Johnson,2015-10-19,81996 45,False,slecht
Catherine Collins,2016-10-14,73328 62,True,slecht
Darren Thomas,2012-05-13,27595 28,True,goed
Linda Harris,2011-05-18,65719 54,True,slecht
Michael Shelton,2008-12-31,70036 61,True,slecht
Brian Barnett,2019-07-10,70435 58,False,goed
Sarah Schultz,2014-08-13,92964 76,True,slecht
Timothy Ryan,2018-09-11,48403 73,False,slecht
Nicholas Kemp,2015-08-10,60024 34,False,slecht
Angela Petty,2014-05-17,47284 76,False,goed
Michael Weeks,2009-11-29,40861 82,True,goed
Lisa Hill,2013-01-30,71528 81,True,goed
Mrs. Kristen Chavez,2006-07-31,17468 4,True,slecht
Lauren Blankenship,2005-07-09,93654 30,False,goed
Dylan Wolf,2017-05-01,88170 11,False,slecht
Kenneth Kelly,2017-08-04,01520 70,False,slecht
Henry Allen,2021-11-20,77818 2,False,slecht
Jacob Henry,2014-06-21,61698 6,False,goed
Sean Rodriguez,2011-12-28,70426 53,False,goed
Frank Thompson,2014-07-25,05502 68,False,goed
Gina Case,2021-10-06,22775 57,True,goed
Steven Allen,2008-10-13,29176 97,False,goed
Heather Fitzpatrick,2006-09-27,79963 26,False,slecht
Rebecca Waller,2011-07-06,53325 64,False,goed
Stacy Conley,2021-01-24,81340 40,True,slecht
Selena Ruiz,2018-08-13,23652 77,False,slecht
Ronald Buchanan,2007-08-04,73597 44,True,slecht
Eric Peterson MD,2007-05-30,67874 19,False,goed
Alvin Freeman,2008-07-23,57459 79,True,goed
Alexis Graham,2015-07-29,07576 35,False,slecht
Briana Gregory,2018-03-13,30981 60,False,goed
Joshua Moore,2013-03-16,67510 84,True,goed
